ID,Title,Milestone,Feature Group,Status,Effort,Priority
OV-A1,Wire Sentry client in app/layout.tsx,Operational Visibility,Track A - Sentry,Complete,E1,P0
OV-A2,Configure Sentry Cloud Function env vars,Operational Visibility,Track A - Sentry,Complete,E0,P0
OV-A3,Admin Errors Tab displays real data,Operational Visibility,Track A - Sentry,Complete,E2,P0
OV-A3.1,Add user correlation to Errors Tab,Operational Visibility,Track A - Sentry,Complete,E1,P0
OV-A4,Build Admin Logs Tab with GCP deep links,Operational Visibility,Track A - Sentry,Complete,E2,P0
OV-A5,Fix Dashboard Tab - adminGetDashboardStats,Operational Visibility,Track A - Fixes,Complete,E1,P0
OV-A6,Users Tab - Initial population with pagination,Operational Visibility,Track A - Fixes,Complete,E2,P0
OV-A7,Stacked Tabs UI - Replace horizontal scroll,Operational Visibility,Track A - Fixes,Complete,E1,P0
OV-A8,Create user privilege types infrastructure,Operational Visibility,Track A - Privileges,Complete,E2,P0
OV-A9,Grant privileges in Admin Users screen,Operational Visibility,Track A - Privileges,Complete,E1,P0
OV-A10,Cleanup Old Sessions job,Operational Visibility,Track A - Jobs,Complete,E1,P0
OV-A11,Cleanup Orphaned Storage Files job,Operational Visibility,Track A - Jobs,Complete,E1,P0
OV-A12,Generate Usage Analytics job,Operational Visibility,Track A - Jobs,Complete,E1,P0
OV-A13,Prune Security Events job,Operational Visibility,Track A - Jobs,Complete,E1,P0
OV-A14,Health Check Notifications job,Operational Visibility,Track A - Jobs,Complete,E1,P0
OV-A15,Password Reset Button in Users Tab,Operational Visibility,Track A - Firebase,Complete,E1,P1
OV-A16,Storage Stats in Dashboard,Operational Visibility,Track A - Firebase,Complete,E1,P1
OV-A17,Rate Limit Viewer in Dashboard,Operational Visibility,Track A - Firebase,Complete,E1,P1
OV-A18,Collection Document Counts in Dashboard,Operational Visibility,Track A - Firebase,Complete,E1,P1
OV-A19,User Analytics Tab,Operational Visibility,Track A-P2,Planned,E2,P1
OV-A20,Job Results Detailed Viewer,Operational Visibility,Track A-P2,Planned,E1,P1
OV-A21,Sentry Error to User Correlation,Operational Visibility,Track A-P2,Planned,E1,P1
OV-A22,GCP Cloud Logging Query Builder,Operational Visibility,Track A-P2,Planned,E2,P1
OV-A23,Error JSON Export with Timeframe Selection,Operational Visibility,Track A - Phase 3,Complete,E1,P1
OV-A24,Auto-Refresh Tabs on Switch,Operational Visibility,Track A - Phase 3,Complete,E1,P1
OV-A25,Soft-Delete Users with 30-Day Retention,Operational Visibility,Track A - Phase 3,Complete,E2,P1
OV-B1,Create /dev route with auth gate,Operational Visibility,Track B - Dev Dashboard,Planned,E1,P1
OV-B2,PERF-001 Lighthouse audit script,Operational Visibility,Track B - Dev Dashboard,Planned,E1,P1
OV-B3,Lighthouse Dashboard Tab,Operational Visibility,Track B - Dev Dashboard,Planned,E1,P1
OV-B4,Doc Sync Tab,Operational Visibility,Track B - Dev Dashboard,Planned,E0,P1
OV-B5,Testing Integration Tab,Operational Visibility,Track B - Dev Dashboard,Planned,E2,P1
OV-B6,Audit Threshold Monitoring,Operational Visibility,Track B - Dev Dashboard,Planned,E1,P1
OV-B7,PERF-002 Lighthouse CI integration,Operational Visibility,Track B - Dev Dashboard,Planned,E1,P1
OV-B8,PERF-003 Firestore history storage,Operational Visibility,Track B - Dev Dashboard,Planned,E1,P1
OV-B9-B11,Error Session Override tabs,Operational Visibility,Track B - Dev Dashboard,Planned,E2,P2
OV-C1,User Analytics Tab - Admin Panel,Operational Visibility,Track C - UI/UX,Planned,E2,P2
OV-C2,Monitoring Consolidation,Operational Visibility,Track C - UI/UX,Planned,E2,P2
OV-FE-1,ADMIN-FE-1 Move error knowledge base to Firestore,Operational Visibility,Future Enhancements,Planned,E2,P2
OV-FE-2,ADMIN-FE-2 Query GCP Cloud Logging API directly,Operational Visibility,Future Enhancements,Planned,E3,P2
OV-FE-3,SEC-LOG-1 Sensitive log persistence review,Operational Visibility,Future Enhancements,Planned,E2,P2
OV-TEST-LOGS,Logs Tab UI Tests (24 tests),Operational Visibility,Track A-Test,Complete,E1,P0
OV-TEST-PRIV-BE,Privileges Backend Tests (16 tests),Operational Visibility,Track A-Test,Partial,E1,P0
OV-TEST-PRIV-FE,Privileges Frontend Tests (14 tests),Operational Visibility,Track A-Test,Partial,E1,P0
OV-TEST-JOBS,Background Jobs Tests (30 tests),Operational Visibility,Track A-Test,Active,E2,P0
OV-TEST-SEC,Security Testing (10 tests),Operational Visibility,Track A-Test,Partial,E1,P0
OV-TEST-INT,Integration Tests (26 tests),Operational Visibility,Track A-Test,Complete,E1,P0
OV-TEST-PERF,Performance Tests (5 tests),Operational Visibility,Track A-Test,Complete,E1,P0
M15-CANON-0107,Missing security headers,M1.5,Audit Backlog,Planned,E0,P0
M15-CANON-0108,No Firebase Storage rules,M1.5,Audit Backlog,Planned,E0,P0
M15-CANON-0103,Fix docs:check false positives,M1.5,Audit Backlog,Planned,E1,P1
M15-CANON-0104,Add scripts to session start,M1.5,Audit Backlog,Planned,E0,P1
M15-CANON-0105,Add CANON validation to CI,M1.5,Audit Backlog,Planned,E1,P1
M15-CANON-0106,Add npm commands for scripts,M1.5,Audit Backlog,Planned,E0,P2
M15-LEGACY-001,Retrofit SSR-safe localStorage,M1.5,Audit Backlog,Planned,E1,P2
M15-REFAC-001,Extract admin.ts/jobs.ts helpers,M1.5,Audit Backlog,Planned,E2,P2
M15-CANON-0101,Missing Quick Start sections,M1.5,Audit Backlog,Planned,E2,P2
M15-CANON-0102,Missing AI Instructions sections,M1.5,Audit Backlog,Planned,E1,P2
M15-SAST,Research SAST Tool Integration,M1.5,Research,Planned,E2,P1
M15-001,Settings page UI,M1.5,UX Features,Active,E2,P1
M15-002,Profile management,M1.5,UX Features,Active,E2,P1
M15-003,Clean date picker improvements,M1.5,UX Features,Active,E1,P1
M15-004,Expanded Onboarding Wizard,M1.5,P0 - Critical UX,Planned,E2,P0
M15-005,Sponsor Personalization System,M1.5,P0 - Critical UX,Planned,E2,P0
M15-006,Stage-of-Recovery Selector,M1.5,P0 - Critical UX,Planned,E1,P0
M15-007,User Documentation & Help System,M1.5,P1 - High Value,Planned,E2,P1
M15-008,Sober Fun Ideas Generator,M1.5,P1 - High Value,Planned,E1,P1
M15-009,Meetings Starting Soon Filter,M1.5,P1 - High Value,Planned,E1,P1
M15-010,Too Tired Mode,M1.5,P2 - Nice to Have,Planned,E1,P2
M15-011,Disguised App Icon + Name,M1.5,P2 - Nice to Have,Planned,E1,P2
M15-EFF-001,Add npm run dev:offline Script,M1.5,Engineering,Planned,E0,P1
M15-EFF-003,Add scripts/doctor.js Environment Validator,M1.5,Engineering,Planned,E0,P1
M15-EFF-005,Cache npm ci in CI Workflow,M1.5,Engineering,Planned,E0,P1
M15-AUTO-001,Wire Session-Start Scripts,M1.5,Process,Complete,E0,P1
M15-AUTO-002,Add npm audit to Pre-Push,M1.5,Process,Planned,E0,P1
M15-AUTO-003,Integrate Sentry with Logger,M1.5,Process,Planned,E1,P1
